给煤量,主蒸汽压力,炉膛出口烟温度,主蒸汽温度,机组负荷,给水温度,给水流量,一次风量,二次风量,二次风温,含氧量
137.99867459513024,11.954666665475816,135.30593314568202,538.1875,332.1041035369711,238.61106453372935,914.609996965569,417.828125,465.4782068073465,286.74304962914186,4.490469400753156
138.37548048112515,11.952255776803941,135.36913187717116,538.6084060668945,334.1943956054334,238.60245754220392,917.4039629924732,417.828125,463.0155298856708,286.7294404585117,4.456506697413075
138.741212340726,11.949844888132066,136.33179338499932,538.65625,336.14064946733413,238.5938505506785,924.3273314559004,419.7349509557088,470.03428021790455,286.7158312878814,4.390046893077595
140.45590629345645,11.947433999460191,136.33984375,538.65625,338.03418606759254,238.58524355915307,923.158934739408,423.0169136047363,466.6395564776535,286.70222211725127,4.3553670374047755
140.83024907136416,11.945023110788316,137.2122335871423,538.65625,338.84308120803394,238.57663656762765,940.3776682878637,420.4931018829346,462.7202035344076,286.6886129466211,4.304909108042544
140.85204452408647,11.942612222116441,137.43565353521933,538.8526728312174,338.98179517103256,238.56802957610222,940.2448704615442,418.2649782816569,463.6574086954183,286.67500377599083,4.2783360206343435
140.8738399768088,11.940201333444566,137.50326170829626,538.875,334.36803217178414,238.5594225845768,943.0841137722031,417.6796875,468.0433773164443,286.66139460536067,4.258770450862653
140.89563542953113,11.937790444772691,137.5708698813732,538.875,338.3185741332153,238.55081559305137,934.5356181988079,416.1186460494995,466.69274724774164,286.6477854347305,4.231467768316697
140.91743088225343,11.935379556100816,137.6384780544501,538.875,340.152324004611,238.54220860152594,930.3249153137207,413.4056786855062,464.3094841544154,286.63417626410023,4.216879798763765
140.93922633497576,11.932968667428941,138.15375833202063,538.8188791910808,340.33113973133476,238.53360161000052,927.9335358955794,411.78162256512377,462.3322893409395,286.62056709347,4.2315953568395335
140.3239750011993,11.930557778757066,138.734375,538.8125,339.8097009819622,238.54658799653467,937.13898588212,406.82037124998044,463.6127287381536,286.60695792283985,4.2643275883353935
139.94150628103597,11.928146890085191,138.734375,538.8125,340.1082017425487,238.6084055602899,922.5121383302926,408.4496332804362,464.1932022050637,286.59334875220964,4.271863293938894
139.82268148171735,11.925736001413316,139.60175287878104,538.8125,340.12414274781275,238.67208669192703,923.0297834395922,407.2788509130478,465.1414691760606,286.5797395815795,4.277103763761613
139.8441308598233,11.923325112741441,139.77028044676172,538.588008371989,339.7183796078837,238.7357678235642,933.496205517427,411.90852462450664,467.3695931663848,286.5661304109492,4.295350210271594
139.9119893436747,11.920914224069566,139.7802964724027,538.5625,338.87075105632937,238.79944895520137,939.8545876950581,408.8471637646357,467.5937218330022,286.55252124031904,4.298050073730674
140.02644279444627,11.918503335397691,139.79031249804376,538.5625,340.1308119709714,238.86313008683854,934.8469467141853,411.3285629272461,468.81149689761287,286.5389120696889,4.300749540053132
140.14089629171616,11.910432750834211,139.80032852368475,538.5625,339.4846646293577,238.9268112184757,929.6636756509844,415.6796875,466.3114250483903,286.5253028990586,4.302528657206018
141.6081837723761,11.88951982257933,139.8103445493258,538.2253749847412,340.02731307989126,238.99049235011282,931.5774064595032,415.6796875,469.4726833364367,286.51169372842844,4.302731122493402
143.07680803026966,11.868112858021407,139.8203605749668,538.1875,341.1038383635788,239.05417348174996,936.0068082587264,418.61521117687226,467.95766592028303,286.4980845577983,4.302975495321133
143.1895840019175,11.84670589346348,139.83037660060785,538.1875,342.153796430224,239.11785461338712,932.5820787533995,420.6844765901566,467.6601680709904,286.48447538716806,4.289634720772788
143.30146732988803,11.82529892890555,139.11322240736038,538.1875,342.696395778656,239.1815357450243,934.0661105493349,422.2421875,469.4356187547839,286.47086621653784,4.269412918955354
144.57592189565662,11.803891964347624,138.98046875,538.0053104877472,343.0987129954741,239.24521687666146,933.3251355029479,420.38635635375977,474.18976063365176,286.4572570459076,4.2541550248587
144.89574320544546,11.782484999789698,138.98046875,537.984375,342.8887345776808,239.3088980082986,942.8756508603954,415.9921875,482.1068702257163,286.4436478752774,4.242894570830453
144.96900982150927,11.76107803523177,138.3281126976013,537.984375,342.46683270230005,239.37257913993574,957.6312678561804,415.9921875,480.0295644205538,286.43003870464725,4.2268195818874075
145.0422764375731,11.742995341583505,137.96875,537.984375,342.28063835710964,239.4362602715729,944.3937901193291,412.68361711502075,478.95181345183215,286.416429534017,4.217364759766707
146.1567771285067,11.740051423154183,137.96875,537.8533124923706,342.4948666270002,239.49994140321007,951.344305392615,414.7109375,480.9137717246755,286.4028203633868,4.194811011270146
147.121646977606,11.738969719014301,137.5189867289112,537.796875,342.8173684696147,239.56362253484724,939.0766283676109,418.6546687530284,480.78301475816465,286.3892111927567,4.191579702649318
147.79394429812035,11.73788801487442,136.92498057952656,537.796875,343.08281366234775,239.62730366648438,941.4693676765038,417.6387331637934,481.91159371727025,286.3756020221264,4.179425476750945
148.14717648294794,11.736806310734538,136.8824179270805,537.796875,343.13236745577825,239.69098479812152,944.1808232790273,419.1796875,484.34198818387364,286.3619928514962,4.172653601772222
149.26180169610828,11.735724606594657,136.8398552746344,537.7641593933106,343.05513196006,239.7546659297587,938.5793464960738,419.1796875,483.3001946297914,286.34838368086605,4.155141426072357
149.58857833331837,11.734642902454777,136.7972926221883,537.75,343.30546875,239.81834706139585,949.5859375,416.8109375,488.9390625,286.3347745102358,4.13888277085079
149.58225084743412,11.733561198314895,136.75472996974224,537.75,343.1972040812174,239.88202819303302,956.8416924794515,418.5234375,491.69406439463296,286.3211653396056,4.1195856177984655
149.778369687419,11.732479494175013,136.71216731729618,537.75,343.5852592468262,239.94570932467016,940.9124606440982,420.10468985239663,496.0165282101474,286.30755616897545,4.086642547811895
150.06954586267565,11.73139779003513,136.66960466485008,537.9356629689535,343.6828609466553,240.0093904563073,932.2209352502703,423.8125,494.1258453830094,286.2939469983452,4.075082406977331
150.31539085542687,11.73031608589525,137.0134199053628,538.015625,344.05502502138,240.07307158794447,941.6531758847233,423.8125,496.1533614416918,286.280337827715,4.070265640554385
150.30996955639836,11.729234381755369,137.484375,538.015625,344.0328202087225,240.13675271958164,950.2158169566446,423.8125,491.0008198744902,286.2667286570848,4.065448874131438
150.30454825736982,11.728152677615487,137.5380389099541,538.015625,343.98794212341306,240.2004338512188,948.6264956433326,421.7468003590902,489.32098540014374,286.2531194864545,4.050493094378349
150.2991269583413,11.727070973475607,138.50411360410624,538.2010134379069,344.5295705159505,240.26411498285594,937.556991704305,420.02176767985026,488.6910783949955,286.2395103158244,4.044523837379294
150.2937056593127,11.725989269335725,138.56381861373927,538.28125,345.1290740787354,240.32779611449308,944.5328281061217,420.5828125,486.46609702225135,286.2259011451942,4.039707070956347
150.2882843602842,11.724907565195844,139.51157341793035,538.28125,345.62880301680497,240.39147724613025,946.2083699885642,422.725,484.6902518419862,286.212291974564,4.02023159848388
150.28286306125565,11.777871897818049,139.51953125,538.28125,346.0329834788846,240.45515837776742,951.1729447682699,420.63124764760335,484.0180311817303,286.1986828039338,3.9694147286581347
150.11301496143346,11.803955078125,139.96730216741562,538.7065528869629,347.0224865157033,240.5188395094046,944.3367752904161,419.0390625,486.27836567871896,286.18507363330355,3.901152166773244
149.7315014697744,11.803955078125,140.52734375,538.890625,347.55726646749815,240.58252064104173,944.8320618814657,419.0390625,488.54103544481995,286.1714644626734,3.829731061918373
149.97156881562213,11.803955078125,141.39854354858397,538.890625,348.31809309316475,240.64620177267886,936.8844247628466,414.1156325896581,485.12798780655737,286.15785529204317,3.7562974819546913
